"Population by Five Years Age Group","Number"
"0-4",""
"Female","1295"
"Male","1487"
"10-14",""
"Female","1431"
"Male","1566"
"15-19",""
"Female","989"
"Male","1295"
"20-24",""
"Female","866"
"Male","903"
"25-29",""
"Female","923"
"Male","930"
"30-34",""
"Female","827"
"Male","796"
"35-39",""
"Female","693"
"Male","742"
"40-44",""
"Female","522"
"Male","604"
"45-49",""
"Female","429"
"Male","458"
"50-54",""
"Female","312"
"Male","356"
"55-59",""
"Female","354"
"Male","305"
"5-9",""
"Female","1642"
"Male","1756"
"60-64",""
"Female","251"
"Male","331"
"65-69",""
"Female","188"
"Male","199"
"70-74",""
"Female","94"
"Male","112"
"75+",""
"Female","57"
"Male","74"
