"Population by Mother tongue","Number"
"Avadhi",""
"Female","5"
"Male","9"
"Bangla",""
"Female","3"
"Male","8"
"Bhojpuri",""
"Female","94"
"Male","157"
"Bhujel",""
"Female","367"
"Male","279"
"Bote",""
"Female","12"
"Male","15"
"Gurung",""
"Female","12582"
"Male","9814"
"Hindi",""
"Female","33"
"Male","93"
"Kumal",""
"Female","37"
"Male","32"
"Limbu",""
"Female","7"
"Male","4"
"Magar",""
"Female","24735"
"Male","18873"
"Maithili",""
"Female","73"
"Male","99"
"Nepali",""
"Female","121670"
"Male","92563"
"Newar",""
"Female","2705"
"Male","2097"
"Not Reported",""
"Female","123"
"Male","86"
"Others",""
"Female","142"
"Male","163"
"Rai",""
"Female","41"
"Male","33"
"Thakali",""
"Female","15"
"Male","13"
"Tharu",""
"Female","40"
"Male","100"
"Urdu",""
"Female","545"
"Male","433"
