"Population by Five Years Age Group","Number"
"0-4",""
"Female","11630"
"Male","12493"
"10-14",""
"Female","19520"
"Male","19473"
"15-19",""
"Female","18606"
"Male","15828"
"20-24",""
"Female","14866"
"Male","8006"
"25-29",""
"Female","12699"
"Male","5970"
"30-34",""
"Female","10323"
"Male","5223"
"35-39",""
"Female","10045"
"Male","4976"
"40-44",""
"Female","8957"
"Male","5194"
"45-49",""
"Female","8113"
"Male","5160"
"50-54",""
"Female","7588"
"Male","5739"
"55-59",""
"Female","6652"
"Male","5355"
"5-9",""
"Female","15505"
"Male","15831"
"60-64",""
"Female","6362"
"Male","4960"
"65-69",""
"Female","4583"
"Male","4144"
"70-74",""
"Female","3306"
"Male","3272"
"75+",""
"Female","4560"
"Male","4209"
