"Agricultural land use area","Hectare"
"Area under arable land","18727.83"
"Area under meadows and pasture","253.84"
"Area under permanent crops","7002.67"
"Area under Temporary crops","17596.64"
"Area under temporary fallow","939.16"
"Area under temporary meadows","192.04"
"Other land","1486.86"
"Ponds","8.74"
"Woodland and forest","1970.66"
