"Number of households by type of outer wall","Number"
"BambooWall","673"
"Cement Bonded Bricks/Stone Wall","12402"
"Mud Bonded Bricks/Stone Wall","55146"
"Not stated","305"
"Others","79"
"Unbaked Bricks","82"
"Wood/Planks","169"
"Total","68856"
