"Agricultural land use area","Hectare"
"Area under arable land","44412.00"
"Area under meadows and pasture","1.00"
"Area under permanent crops","499.00"
"Area under Temporary crops","44229.00"
"Area under temporary fallow","94.00"
"Area under temporary meadows","88.00"
"Other land","2189.00"
"Ponds","109.00"
"Woodland and forest","22.00"
"Total","91643.00"
