"Number of households by type of outer wall","Number"
"BambooWall","18276"
"Cement Bonded Bricks/Stone Wall","10827"
"Mud Bonded Bricks/Stone Wall","23960"
"Not Stated about Wall","297"
"Other Type Wall","19358"
"Unbaked Bricks","8366"
"Wood/Planks","2063"
"Total","83147"
