"Population by Mother tongue","Number"
"Achhami",""
"Female","47"
"Male","28"
"","75"
"Assami",""
"Female","83"
"Male","68"
"","151"
"Avadhi",""
"Female","14549"
"Male","15857"
"","30406"
"Bangla",""
"Female","3"
"Male","9"
"","12"
"Bhojpuri",""
"Female","596"
"Male","639"
"","1235"
"Bote",""
"Female","7"
"Male","7"
"","14"
"Dailekhi",""
"Female","6"
"Male","8"
"","14"
"Darai",""
"Female","22"
"Male","13"
"","35"
"Doteli",""
"Female","113"
"Male","130"
"","243"
"Gurung",""
"Female","662"
"Male","513"
"","1175"
"Hindi",""
"Female","877"
"Male","946"
"","1823"
"Magar",""
"Female","1548"
"Male","1319"
"","2867"
"Maithili",""
"Female","872"
"Male","967"
"","1839"
"Nepali",""
"Female","81448"
"Male","67814"
"","149262"
"Newar",""
"Female","460"
"Male","427"
"","887"
"Not Reported",""
"Female","10"
"Male","17"
"","27"
"Others",""
"Female","156"
"Male","107"
"","263"
"Raji",""
"Female","366"
"Male","365"
"","731"
"Santhali",""
"Female","79"
"Male","89"
"","168"
"Sherpa",""
"Female","39"
"Male","29"
"","68"
"Sign Language",""
"Female","19"
"Male","32"
"","51"
"Sonaha",""
"Female","255"
"Male","248"
"","503"
"Tamang",""
"Female","298"
"Male","242"
"","540"
"Tharu",""
"Female","113887"
"Male","107566"
"","221453"
"Urdu",""
"Female","4817"
"Male","4815"
"","9632"
"Yakkha",""
"Female","72"
"Male","65"
"","137"
