"Population by Mother tongue","Number"
"Bhojpuri",""
"Female","3170"
"Male","3084"
"","6254"
"Darai",""
"Female","7"
"Male","7"
"","14"
"Ghale",""
"Female","7"
"Male","9"
"","16"
"Gurung",""
"Female","826"
"Male","691"
"","1517"
"Hindi",""
"Female","16"
"Male","29"
"","45"
"Kumal",""
"Female","7"
"Male","5"
"","12"
"Magar",""
"Female","2691"
"Male","2246"
"","4937"
"Maithili",""
"Female","385"
"Male","416"
"","801"
"Nepali",""
"Female","20534"
"Male","16708"
"","37242"
"Newar",""
"Female","288"
"Male","257"
"","545"
"Not Reported",""
"Female","43"
"Male","45"
"","88"
"Others",""
"Female","40"
"Male","36"
"","76"
"Sunuwar",""
"Female","15"
"Male","16"
"","31"
"Tamang",""
"Female","295"
"Male","240"
"","535"
"Tharu",""
"Female","4942"
"Male","4283"
"","9225"
"Urdu",""
"Female","69"
"Male","65"
"","134"
