"Number of households by type of outer wall","Number"
"BambooWall","1749"
"Cement Bonded Bricks/Stone Wall","6488"
"Mud Bonded Bricks/Stone Wall","2720"
"Not Stated about Wall","88"
"Other Type Wall","1062"
"Unbaked Bricks","407"
"Wood/Planks","901"
"Total","13415"
