"Industries Types","Number"
"Accommodation and food","311"
"Administrative and support service activity","0"
"Agriculture, forestry and fishing","16"
"Art, entertainment and recreation","7"
"Construction","0"
"Education","27"
"Electricty gas and water","9"
"Financial intermediation and insurance","12"
"Health and social work","19"
"Information and communications","1"
"Manufacturing","11"
"Mining and quarrying","0"
"Other service activities","21"
"Professional,scientific and techniqual activity","0"
"Real state, renting and business activities","0"
"Transport and storage","3"
"Water supply, wet management","3"
"Wholesale and retail trade","47"
"Total","487"
