"Annual Growth rate of GDP by economic activities","Percentage %"
"Agriculture and forestry","3.17"
"Construction","9.24"
"Education","5.77"
"Electricty gas and water","13.06"
"Financial intermediation","8.73"
"Fishing","4.53"
"Health and social work","4.95"
"Hotels and restaurants","8.34"
"Manufacturing","6.06"
"Mining and quarrying","9.74"
"Other community, social and personal service activities","5.60"
"Public administration and defence","5.18"
"Real estate, renting and business activities","3.12"
"Transport, storage and communications","6.26"
"Wholesale and retail trade","19.77"
