"Gross value added by industry (at current price)","Rs (,000)"
"Agriculture and forestry","154155900"
"Construction","23520000"
"Education","35622700"
"Electricty gas and water","2954873"
"Financial intermediation","12511400"
"Fishing","8297877"
"Health and social work","3462900"
"Hotels and restaurants","3008000"
"Manufacturing","25007700"
"Mining and quarrying","2636591"
"Other community, social and personal service activities","11099400"
"Public administration and defence","11876400"
"Real estate, renting and business activities","22271200"
"Transport, storage and communications","36374900"
"Wholesale and retail trade","53936400"
"Total","406736241"
