"Number of households by type of outer wall","Number"
"BambooWall","6546"
"Cement Bonded Bricks/Stone Wall","7403"
"Mud Bonded Bricks/Stone Wall","384"
"Not Stated about Wall","101"
"Other Type Wall","221"
"Unbaked Bricks","11"
"Wood/Planks","604"
"Total","15270"
