"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","54"
"Male","38"
"Brahman - Hill",""
"Female","2422"
"Male","2035"
"Chhetri",""
"Female","1113"
"Male","897"
"Damai/Dholi",""
"Female","691"
"Male","599"
"Gharti/Bhujel",""
"Female","136"
"Male","114"
"Gurung",""
"Female","3289"
"Male","2673"
"Hyolmo",""
"Female","9"
"Male","5"
"Kami",""
"Female","1126"
"Male","958"
"Magar",""
"Female","164"
"Male","163"
"Musalman",""
"Female","18"
"Male","7"
"Newar",""
"Female","24"
"Male","15"
"Others",""
"Female","20"
"Male","15"
"Sanyasi/Dasnami",""
"Female","54"
"Male","46"
"Sarki",""
"Female","514"
"Male","418"
"Tamang",""
"Female","158"
"Male","157"
"Terai Others",""
"Female","6"
"Male","6"
"Thakuri",""
"Female","114"
"Male","95"
