"Population by Five Years Age Group","Number"
"0-4",""
"Female","755"
"Male","785"
"10-14",""
"Female","1157"
"Male","1174"
"15-19",""
"Female","1018"
"Male","984"
"20-24",""
"Female","823"
"Male","491"
"25-29",""
"Female","662"
"Male","356"
"30-34",""
"Female","561"
"Male","309"
"35-39",""
"Female","607"
"Male","353"
"40-44",""
"Female","567"
"Male","368"
"45-49",""
"Female","517"
"Male","390"
"50-54",""
"Female","506"
"Male","439"
"55-59",""
"Female","456"
"Male","408"
"5-9",""
"Female","918"
"Male","859"
"60-64",""
"Female","501"
"Male","400"
"65-69",""
"Female","301"
"Male","307"
"70-74",""
"Female","242"
"Male","249"
"75+",""
"Female","321"
"Male","369"
