"Population by Single Year of Age","Number"
"0",""
"Female","430"
"Male","499"
"1",""
"Female","402"
"Male","422"
"10",""
"Female","731"
"Male","749"
"11",""
"Female","481"
"Male","504"
"12",""
"Female","706"
"Male","714"
"13",""
"Female","605"
"Male","574"
"14",""
"Female","683"
"Male","646"
"15",""
"Female","658"
"Male","597"
"16",""
"Female","643"
"Male","602"
"17",""
"Female","515"
"Male","476"
"18",""
"Female","670"
"Male","580"
"19",""
"Female","380"
"Male","330"
"2",""
"Female","467"
"Male","513"
"20",""
"Female","625"
"Male","463"
"21",""
"Female","346"
"Male","282"
"22",""
"Female","558"
"Male","444"
"23",""
"Female","395"
"Male","276"
"24",""
"Female","393"
"Male","294"
"25",""
"Female","781"
"Male","557"
"26",""
"Female","402"
"Male","297"
"27",""
"Female","336"
"Male","272"
"28",""
"Female","564"
"Male","416"
"29",""
"Female","182"
"Male","170"
"3",""
"Female","574"
"Male","538"
"30",""
"Female","836"
"Male","692"
"31",""
"Female","182"
"Male","154"
"32",""
"Female","434"
"Male","374"
"33",""
"Female","231"
"Male","194"
"34",""
"Female","214"
"Male","182"
"35",""
"Female","817"
"Male","805"
"36",""
"Female","270"
"Male","222"
"37",""
"Female","184"
"Male","147"
"38",""
"Female","377"
"Male","310"
"39",""
"Female","106"
"Male","126"
"4",""
"Female","531"
"Male","559"
"40",""
"Female","785"
"Male","776"
"41",""
"Female","158"
"Male","119"
"42",""
"Female","266"
"Male","267"
"43",""
"Female","188"
"Male","154"
"44",""
"Female","139"
"Male","129"
"45",""
"Female","723"
"Male","640"
"46",""
"Female","180"
"Male","174"
"47",""
"Female","132"
"Male","146"
"48",""
"Female","252"
"Male","222"
"49",""
"Female","92"
"Male","85"
"5",""
"Female","575"
"Male","631"
"50",""
"Female","650"
"Male","579"
"51",""
"Female","109"
"Male","132"
"52",""
"Female","205"
"Male","190"
"53",""
"Female","107"
"Male","104"
"54",""
"Female","107"
"Male","112"
"55",""
"Female","513"
"Male","543"
"56",""
"Female","128"
"Male","124"
"57",""
"Female","97"
"Male","113"
"58",""
"Female","155"
"Male","171"
"59",""
"Female","77"
"Male","80"
"6",""
"Female","541"
"Male","579"
"60",""
"Female","521"
"Male","506"
"61",""
"Female","70"
"Male","83"
"62",""
"Female","117"
"Male","120"
"63",""
"Female","72"
"Male","73"
"64",""
"Female","69"
"Male","63"
"65",""
"Female","401"
"Male","315"
"66",""
"Female","60"
"Male","68"
"67",""
"Female","49"
"Male","73"
"68",""
"Female","122"
"Male","131"
"69",""
"Female","34"
"Male","63"
"7",""
"Female","592"
"Male","546"
"70",""
"Female","271"
"Male","273"
"71",""
"Female","47"
"Male","40"
"72",""
"Female","66"
"Male","64"
"73",""
"Female","28"
"Male","46"
"74",""
"Female","22"
"Male","35"
"75",""
"Female","121"
"Male","132"
"76",""
"Female","23"
"Male","21"
"77",""
"Female","22"
"Male","26"
"78",""
"Female","27"
"Male","25"
"79",""
"Female","10"
"Male","8"
"8",""
"Female","635"
"Male","680"
"80",""
"Female","61"
"Male","86"
"81",""
"Female","15"
"Male","12"
"82",""
"Female","11"
"Male","10"
"83",""
"Female","9"
"Male","9"
"84",""
"Female","16"
"Male","8"
"85",""
"Female","123"
"Male","95"
"9",""
"Female","430"
"Male","450"
