"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","444"
"Cow Dung","0"
"Electricity Fuel","0"
"KeroseneFuel","9"
"LP Gas","294"
"Not Sated about Fuel","27"
"OthersFuel","0"
"Wood/FireWood","4738"
"Total","5512"
