"Population by Caste Ethinicity","Number"
"Badi",""
"Female","18"
"Male","11"
"","29"
"Brahman - Hill",""
"Female","35"
"Male","133"
"","168"
"Chhetri",""
"Female","47"
"Male","83"
"","130"
"Damai/Dholi",""
"Female","98"
"Male","100"
"","198"
"Gurung",""
"Female","215"
"Male","182"
"","397"
"Kami",""
"Female","198"
"Male","203"
"","401"
"Magar",""
"Female","139"
"Male","164"
"","303"
"Newar",""
"Female","19"
"Male","30"
"","49"
"Others",""
"Female","27"
"Male","42"
"","69"
"Rai",""
"Female","16"
"Male","17"
"","33"
"Sarki",""
"Female","9"
"Male","23"
"","32"
"Sherpa",""
"Female","6"
"Male","37"
"","43"
"Tamang",""
"Female","80"
"Male","59"
"","139"
"Thakali",""
"Female","511"
"Male","479"
"","990"
"Thakuri",""
"Female","7"
"Male","12"
"","19"
"Tharu",""
"Female","10"
"Male","19"
"","29"
