"Population by Mother tongue","Number"
"Jirel",""
"Female","8"
"Male","7"
"Magar",""
"Female","59"
"Male","47"
"Maithili",""
"Female","19"
"Male","34"
"Nepali",""
"Female","5208"
"Male","4625"
"Newar",""
"Female","377"
"Male","320"
"Not Reported",""
"Female","6"
"Male","10"
"Others",""
"Female","11"
"Male","15"
"Rai",""
"Female","16"
"Male","13"
"Sherpa",""
"Female","1049"
"Male","921"
"Sunuwar",""
"Female","1916"
"Male","1646"
"Tamang",""
"Female","668"
"Male","589"
"Thami",""
"Female","21"
"Male","16"
