"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","13"
"Male","8"
"Brahman - Hill",""
"Female","202"
"Male","181"
"Chhetri",""
"Female","3136"
"Male","2845"
"Damai/Dholi",""
"Female","350"
"Male","274"
"Gharti/Bhujel",""
"Female","100"
"Male","107"
"Jirel",""
"Female","8"
"Male","7"
"Kami",""
"Female","514"
"Male","409"
"Khawas",""
"Female","8"
"Male","3"
"Magar",""
"Female","115"
"Male","104"
"Newar",""
"Female","699"
"Male","621"
"Others",""
"Female","39"
"Male","44"
"Rai",""
"Female","24"
"Male","16"
"Sarki",""
"Female","128"
"Male","121"
"Sherpa",""
"Female","1138"
"Male","998"
"Sunuwar",""
"Female","1952"
"Male","1680"
"Tamang",""
"Female","899"
"Male","794"
"Terai Others",""
"Female","3"
"Male","8"
"Thami",""
"Female","30"
"Male","23"
