"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","12"
"Cow Dung","0"
"Electricity Fuel","0"
"KeroseneFuel","57"
"LP Gas","22"
"Not Sated about Fuel","37"
"OthersFuel","0"
"Wood/FireWood","4548"
"Total","4676"
