"Industries Employment","Number"
"Accommodation,  food",""
"Female","5815"
"Male","6471"
"Administrative, support service",""
"Female","106"
"Male","742"
"Agriculture, forestry and  fishing",""
"Female","420"
"Male","1067"
"Arts, entertainment, recreation",""
"Female","25"
"Male","238"
"Construction",""
"Female","14"
"Male","239"
"Education",""
"Female","7405"
"Male","10807"
"Electricity, gas and water",""
"Female","57"
"Male","259"
"Financial intermediation and insurance",""
"Female","1701"
"Male","2683"
"Health, social work",""
"Female","3956"
"Male","3177"
"Information and communication",""
"Female","201"
"Male","753"
"Manufacturing",""
"Female","8628"
"Male","27871"
"Other service activities",""
"Female","1115"
"Male","3135"
"Professional, scientific, techniqual activity",""
"Female","122"
"Male","542"
"Real estate, renting and business activity",""
"Female","5"
"Male","29"
"Transportation,  storage",""
"Female","61"
"Male","395"
"Water supply, wet management",""
"Female","90"
"Male","279"
"Wholesale, retail trade",""
"Female","14886"
"Male","24091"
