"Industries Types","Number"
"Accommodation and food","5134"
"Administrative and support service activity","216"
"Agriculture, forestry and fishing","290"
"Art, entertainment and recreation","57"
"Construction","16"
"Education","1084"
"Electricty gas and water","10"
"Financial intermediation and insurance","606"
"Health and social work","506"
"Information and communications","84"
"Manufacturing","4081"
"Mining and quarrying","9"
"Other service activities","2374"
"Professional,scientific and techniqual activity","282"
"Real state, renting and business activities","6"
"Transport and storage","86"
"Water supply, wet management","62"
"Wholesale and retail trade","20344"
"Total","35247"
