"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","50"
"Male","45"
"Brahman - Hill",""
"Female","362"
"Male","392"
"Chhetri",""
"Female","4820"
"Male","4558"
"Damai/Dholi",""
"Female","409"
"Male","425"
"Gurung",""
"Female","34"
"Male","32"
"Kami",""
"Female","1254"
"Male","1203"
"Kumal",""
"Female","63"
"Male","65"
"Magar",""
"Female","4035"
"Male","3916"
"Others",""
"Female","14"
"Male","13"
"Raute",""
"Female","35"
"Male","31"
"Sanyasi/Dasnami",""
"Female","468"
"Male","439"
"Sarki",""
"Female","126"
"Male","140"
"Terai Others",""
"Female","6"
"Male","7"
"Thakuri",""
"Female","25"
"Male","27"
"Tharu",""
"Female","4"
"Male","7"
