"Population by Five Years Age Group","Number"
"0-4",""
"Female","1315"
"Male","1414"
"10-14",""
"Female","1689"
"Male","1672"
"15-19",""
"Female","1389"
"Male","1339"
"20-24",""
"Female","1150"
"Male","942"
"25-29",""
"Female","916"
"Male","735"
"30-34",""
"Female","719"
"Male","628"
"35-39",""
"Female","661"
"Male","551"
"40-44",""
"Female","528"
"Male","498"
"45-49",""
"Female","425"
"Male","406"
"50-54",""
"Female","369"
"Male","397"
"55-59",""
"Female","307"
"Male","338"
"5-9",""
"Female","1586"
"Male","1664"
"60-64",""
"Female","259"
"Male","285"
"65-69",""
"Female","181"
"Male","199"
"70-74",""
"Female","107"
"Male","105"
"75+",""
"Female","104"
"Male","127"
