"Population by Single Year of Age","Number"
"0",""
"Female","233"
"Male","262"
"1",""
"Female","232"
"Male","229"
"10",""
"Female","333"
"Male","393"
"11",""
"Female","345"
"Male","264"
"12",""
"Female","379"
"Male","396"
"13",""
"Female","318"
"Male","321"
"14",""
"Female","314"
"Male","298"
"15",""
"Female","324"
"Male","297"
"16",""
"Female","289"
"Male","267"
"17",""
"Female","263"
"Male","253"
"18",""
"Female","323"
"Male","311"
"19",""
"Female","190"
"Male","211"
"2",""
"Female","269"
"Male","297"
"20",""
"Female","250"
"Male","213"
"21",""
"Female","223"
"Male","196"
"22",""
"Female","252"
"Male","213"
"23",""
"Female","230"
"Male","185"
"24",""
"Female","195"
"Male","135"
"25",""
"Female","229"
"Male","193"
"26",""
"Female","174"
"Male","119"
"27",""
"Female","191"
"Male","145"
"28",""
"Female","189"
"Male","168"
"29",""
"Female","133"
"Male","110"
"3",""
"Female","278"
"Male","291"
"30",""
"Female","228"
"Male","187"
"31",""
"Female","99"
"Male","91"
"32",""
"Female","167"
"Male","152"
"33",""
"Female","117"
"Male","100"
"34",""
"Female","108"
"Male","98"
"35",""
"Female","227"
"Male","165"
"36",""
"Female","128"
"Male","123"
"37",""
"Female","95"
"Male","79"
"38",""
"Female","124"
"Male","115"
"39",""
"Female","87"
"Male","69"
"4",""
"Female","303"
"Male","335"
"40",""
"Female","212"
"Male","184"
"41",""
"Female","70"
"Male","78"
"42",""
"Female","105"
"Male","93"
"43",""
"Female","70"
"Male","66"
"44",""
"Female","71"
"Male","77"
"45",""
"Female","156"
"Male","145"
"46",""
"Female","80"
"Male","82"
"47",""
"Female","65"
"Male","58"
"48",""
"Female","81"
"Male","74"
"49",""
"Female","43"
"Male","47"
"5",""
"Female","319"
"Male","344"
"50",""
"Female","140"
"Male","176"
"51",""
"Female","59"
"Male","53"
"52",""
"Female","79"
"Male","78"
"53",""
"Female","44"
"Male","57"
"54",""
"Female","47"
"Male","33"
"55",""
"Female","105"
"Male","86"
"56",""
"Female","61"
"Male","71"
"57",""
"Female","52"
"Male","70"
"58",""
"Female","56"
"Male","62"
"59",""
"Female","33"
"Male","49"
"6",""
"Female","312"
"Male","344"
"60",""
"Female","112"
"Male","121"
"61",""
"Female","52"
"Male","46"
"62",""
"Female","41"
"Male","50"
"63",""
"Female","31"
"Male","32"
"64",""
"Female","23"
"Male","36"
"65",""
"Female","75"
"Male","60"
"66",""
"Female","23"
"Male","26"
"67",""
"Female","26"
"Male","45"
"68",""
"Female","34"
"Male","45"
"69",""
"Female","23"
"Male","23"
"7",""
"Female","336"
"Male","346"
"70",""
"Female","58"
"Male","47"
"71",""
"Female","14"
"Male","9"
"72",""
"Female","18"
"Male","21"
"73",""
"Female","12"
"Male","15"
"74",""
"Female","5"
"Male","13"
"75",""
"Female","25"
"Male","29"
"76",""
"Female","3"
"Male","14"
"77",""
"Female","5"
"Male","14"
"78",""
"Female","21"
"Male","13"
"79",""
"Female","10"
"Male","6"
"8",""
"Female","344"
"Male","367"
"80",""
"Female","13"
"Male","19"
"81",""
"Female","3"
"Male","5"
"82",""
"Female","2"
"Male","1"
"83",""
"Female","1"
"Male","2"
"84",""
"Female","4"
"Male","4"
"85",""
"Female","17"
"Male","20"
"9",""
"Female","275"
"Male","263"
