"Population by Caste Ethinicity","Number"
"Brahman - Hill",""
"Female","215"
"Male","202"
"","417"
"Chhetri",""
"Female","325"
"Male","354"
"","679"
"Dalit Others",""
"Female","10"
"Male","5"
"","15"
"Damai/Dholi",""
"Female","25"
"Male","27"
"","52"
"Ghale",""
"Female","6"
"Male","7"
"","13"
"Gurung",""
"Female","37"
"Male","35"
"","72"
"Kami",""
"Female","94"
"Male","86"
"","180"
"Magar",""
"Female","572"
"Male","528"
"","1100"
"Majhi",""
"Female","83"
"Male","60"
"","143"
"Newar",""
"Female","20"
"Male","18"
"","38"
"Others",""
"Female","13"
"Male","22"
"","35"
"Pahari",""
"Female","51"
"Male","62"
"","113"
"Tamang",""
"Female","5883"
"Male","5658"
"","11541"
