"Number of households by type of outer wall","Number"
"BambooWall","44"
"Cement Bonded Bricks/Stone Wall","1572"
"Mud Bonded Bricks/Stone Wall","6756"
"Not stated","44"
"Others","25"
"Unbaked Bricks","1"
"Wood/Planks","197"
"Total","8639"
