"Population by Five Years Age Group","Number"
"0-4",""
"Female","1239"
"Male","1256"
"10-14",""
"Female","2081"
"Male","2142"
"15-19",""
"Female","2074"
"Male","1872"
"20-24",""
"Female","1659"
"Male","1163"
"25-29",""
"Female","1331"
"Male","1187"
"30-34",""
"Female","1168"
"Male","897"
"35-39",""
"Female","1058"
"Male","841"
"40-44",""
"Female","1004"
"Male","846"
"45-49",""
"Female","918"
"Male","765"
"50-54",""
"Female","801"
"Male","718"
"55-59",""
"Female","658"
"Male","610"
"5-9",""
"Female","1597"
"Male","1648"
"60-64",""
"Female","577"
"Male","538"
"65-69",""
"Female","449"
"Male","431"
"70-74",""
"Female","388"
"Male","359"
"75+",""
"Female","555"
"Male","494"
