"Population by Single Year of Age","Number"
"0",""
"Female","360"
"Male","422"
"1",""
"Female","234"
"Male","272"
"10",""
"Female","793"
"Male","923"
"11",""
"Female","412"
"Male","324"
"12",""
"Female","711"
"Male","740"
"13",""
"Female","395"
"Male","376"
"14",""
"Female","460"
"Male","497"
"15",""
"Female","396"
"Male","532"
"16",""
"Female","321"
"Male","501"
"17",""
"Female","199"
"Male","270"
"18",""
"Female","350"
"Male","445"
"19",""
"Female","176"
"Male","165"
"2",""
"Female","496"
"Male","510"
"20",""
"Female","589"
"Male","491"
"21",""
"Female","191"
"Male","150"
"22",""
"Female","374"
"Male","291"
"23",""
"Female","237"
"Male","149"
"24",""
"Female","251"
"Male","187"
"25",""
"Female","692"
"Male","443"
"26",""
"Female","202"
"Male","181"
"27",""
"Female","192"
"Male","161"
"28",""
"Female","379"
"Male","217"
"29",""
"Female","130"
"Male","80"
"3",""
"Female","524"
"Male","513"
"30",""
"Female","868"
"Male","471"
"31",""
"Female","58"
"Male","64"
"32",""
"Female","292"
"Male","191"
"33",""
"Female","130"
"Male","77"
"34",""
"Female","120"
"Male","74"
"35",""
"Female","705"
"Male","469"
"36",""
"Female","152"
"Male","113"
"37",""
"Female","104"
"Male","69"
"38",""
"Female","272"
"Male","143"
"39",""
"Female","69"
"Male","46"
"4",""
"Female","494"
"Male","478"
"40",""
"Female","712"
"Male","565"
"41",""
"Female","41"
"Male","43"
"42",""
"Female","181"
"Male","148"
"43",""
"Female","91"
"Male","34"
"44",""
"Female","72"
"Male","61"
"45",""
"Female","543"
"Male","464"
"46",""
"Female","83"
"Male","67"
"47",""
"Female","65"
"Male","63"
"48",""
"Female","180"
"Male","117"
"49",""
"Female","57"
"Male","53"
"5",""
"Female","592"
"Male","664"
"50",""
"Female","500"
"Male","510"
"51",""
"Female","39"
"Male","42"
"52",""
"Female","91"
"Male","107"
"53",""
"Female","55"
"Male","53"
"54",""
"Female","46"
"Male","54"
"55",""
"Female","364"
"Male","452"
"56",""
"Female","56"
"Male","80"
"57",""
"Female","58"
"Male","56"
"58",""
"Female","134"
"Male","108"
"59",""
"Female","48"
"Male","49"
"6",""
"Female","566"
"Male","549"
"60",""
"Female","403"
"Male","500"
"61",""
"Female","34"
"Male","41"
"62",""
"Female","84"
"Male","80"
"63",""
"Female","41"
"Male","19"
"64",""
"Female","17"
"Male","17"
"65",""
"Female","262"
"Male","311"
"66",""
"Female","28"
"Male","30"
"67",""
"Female","26"
"Male","26"
"68",""
"Female","65"
"Male","68"
"69",""
"Female","26"
"Male","27"
"7",""
"Female","508"
"Male","543"
"70",""
"Female","191"
"Male","261"
"71",""
"Female","15"
"Male","26"
"72",""
"Female","31"
"Male","39"
"73",""
"Female","6"
"Male","10"
"74",""
"Female","10"
"Male","12"
"75",""
"Female","104"
"Male","112"
"76",""
"Female","6"
"Male","12"
"77",""
"Female","5"
"Male","19"
"78",""
"Female","10"
"Male","15"
"79",""
"Female","6"
"Male","10"
"8",""
"Female","665"
"Male","741"
"80",""
"Female","52"
"Male","53"
"81",""
"Female","3"
"Male","0"
"82",""
"Female","2"
"Male","2"
"83",""
"Female","2"
"Male","0"
"84",""
"Female","0"
"Male","2"
"85",""
"Female","41"
"Male","35"
"9",""
"Female","348"
"Male","346"
