"Population by Five Years Age Group","Number"
"0-4",""
"Female","2108"
"Male","2195"
"10-14",""
"Female","2771"
"Male","2860"
"15-19",""
"Female","1442"
"Male","1913"
"20-24",""
"Female","1642"
"Male","1268"
"25-29",""
"Female","1595"
"Male","1082"
"30-34",""
"Female","1468"
"Male","877"
"35-39",""
"Female","1302"
"Male","840"
"40-44",""
"Female","1097"
"Male","851"
"45-49",""
"Female","928"
"Male","764"
"50-54",""
"Female","731"
"Male","766"
"55-59",""
"Female","660"
"Male","745"
"5-9",""
"Female","2679"
"Male","2843"
"60-64",""
"Female","579"
"Male","657"
"65-69",""
"Female","407"
"Male","462"
"70-74",""
"Female","253"
"Male","348"
"75+",""
"Female","231"
"Male","260"
