"Population by Caste/Ethinicity","Number"
"Brahman - Hill",""
"Female","2384"
"Male","1970"
"Brahmu/ Baramo",""
"Female","145"
"Male","106"
"Chepang /Praja",""
"Female","1559"
"Male","1460"
"Chhetri",""
"Female","666"
"Male","546"
"Damai/Dholi",""
"Female","439"
"Male","333"
"Gharti/Bhujel",""
"Female","142"
"Male","109"
"Gurung",""
"Female","1671"
"Male","1289"
"Kami",""
"Female","581"
"Male","464"
"Kumal",""
"Female","22"
"Male","33"
"Magar",""
"Female","2461"
"Male","2003"
"Majhi",""
"Female","118"
"Male","107"
"Musalman",""
"Female","52"
"Male","58"
"Newar",""
"Female","1680"
"Male","1395"
"Others",""
"Female","24"
"Male","21"
"Sanyasi/Dasnami",""
"Female","25"
"Male","28"
"Sarki",""
"Female","712"
"Male","627"
"Tamang",""
"Female","13"
"Male","10"
