"Population by Five Years Age Group","Number"
"0-4",""
"Female","897"
"Male","916"
"10-14",""
"Female","1806"
"Male","1690"
"15-19",""
"Female","1514"
"Male","1255"
"20-24",""
"Female","939"
"Male","500"
"25-29",""
"Female","805"
"Male","433"
"30-34",""
"Female","736"
"Male","449"
"35-39",""
"Female","777"
"Male","467"
"40-44",""
"Female","730"
"Male","531"
"45-49",""
"Female","638"
"Male","523"
"50-54",""
"Female","554"
"Male","573"
"55-59",""
"Female","436"
"Male","451"
"5-9",""
"Female","1363"
"Male","1294"
"60-64",""
"Female","446"
"Male","411"
"65-69",""
"Female","353"
"Male","353"
"70-74",""
"Female","261"
"Male","284"
"75+",""
"Female","439"
"Male","438"
