"Population by Caste/Ethinicity","Number"
"Brahman - Hill",""
"Female","2409"
"Male","2082"
"Chhetri",""
"Female","6836"
"Male","6055"
"Dalit Others",""
"Female","2032"
"Male","1772"
"Damai/Dholi",""
"Female","426"
"Male","367"
"Kami",""
"Female","2119"
"Male","1814"
"Lohar",""
"Female","80"
"Male","53"
"Magar",""
"Female","423"
"Male","423"
"Others",""
"Female","16"
"Male","22"
"Sarki",""
"Female","54"
"Male","47"
"Terai Others",""
"Female","7"
"Male","9"
"Thakuri",""
"Female","211"
"Male","199"
"Tharu",""
"Female","13"
"Male","16"
