"Population by Caste/Ethinicity","Number"
"Brahman - Hill",""
"Female","2339"
"Male","1999"
"Brahmu/ Baramo",""
"Female","76"
"Male","65"
"Chepang /Praja",""
"Female","19"
"Male","16"
"Chhetri",""
"Female","894"
"Male","782"
"Damai/Dholi",""
"Female","497"
"Male","401"
"Gaine",""
"Female","14"
"Male","14"
"Ghale",""
"Female","791"
"Male","671"
"Gharti/Bhujel",""
"Female","188"
"Male","188"
"Gurung",""
"Female","421"
"Male","336"
"Kami",""
"Female","651"
"Male","528"
"Limbu",""
"Female","7"
"Male","8"
"Magar",""
"Female","2487"
"Male","2172"
"Majhi",""
"Female","152"
"Male","151"
"Musalman",""
"Female","8"
"Male","6"
"Newar",""
"Female","2101"
"Male","1821"
"Others",""
"Female","31"
"Male","18"
"Rai",""
"Female","11"
"Male","13"
"Sanyasi/Dasnami",""
"Female","527"
"Male","473"
"Sarki",""
"Female","1227"
"Male","1038"
"Tamang",""
"Female","193"
"Male","162"
"Terai Others",""
"Female","9"
"Male","9"
"Thakuri",""
"Female","121"
"Male","94"
