"Population by Five Years Age Group","Number"
"0-4",""
"Female","2542"
"Male","2672"
"10-14",""
"Female","3742"
"Male","3852"
"15-19",""
"Female","3749"
"Male","3382"
"20-24",""
"Female","3555"
"Male","2189"
"25-29",""
"Female","3323"
"Male","1844"
"30-34",""
"Female","2618"
"Male","1794"
"35-39",""
"Female","2314"
"Male","1706"
"40-44",""
"Female","1976"
"Male","1565"
"45-49",""
"Female","1753"
"Male","1474"
"50-54",""
"Female","1613"
"Male","1394"
"55-59",""
"Female","1269"
"Male","1207"
"5-9",""
"Female","3190"
"Male","3318"
"60-64",""
"Female","1167"
"Male","1156"
"65-69",""
"Female","789"
"Male","803"
"70-74",""
"Female","553"
"Male","629"
"75+",""
"Female","732"
"Male","768"
