"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas","1223"
"Cow Dung","970"
"Electricity","5"
"Kerosene","113"
"LP Gas","1659"
"Not stated","63"
"Others","30"
"Wood/Firewood","10632"
"Total","14695"
