"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas","635"
"Cow Dung","69"
"Electricity","5"
"Kerosene","469"
"LP Gas","25107"
"Not stated","390"
"Others","65"
"Wood/Firewood","7357"
"Total","34097"
