"Population by Five Years Age Group","Number"
"0-4",""
"Female","4560"
"Male","5454"
"10-14",""
"Female","7973"
"Male","8692"
"15-19",""
"Female","8172"
"Male","8485"
"20-24",""
"Female","8705"
"Male","7951"
"25-29",""
"Female","7679"
"Male","6322"
"30-34",""
"Female","6437"
"Male","5553"
"35-39",""
"Female","5306"
"Male","4917"
"40-44",""
"Female","3959"
"Male","3922"
"45-49",""
"Female","3089"
"Male","3014"
"50-54",""
"Female","2427"
"Male","2585"
"55-59",""
"Female","1826"
"Male","1915"
"5-9",""
"Female","6487"
"Male","7355"
"60-64",""
"Female","1517"
"Male","1568"
"65-69",""
"Female","1115"
"Male","1031"
"70-74",""
"Female","680"
"Male","703"
"75+",""
"Female","980"
"Male","883"
