"Number of households by type of outer wall","Number"
"BambooWall","11437"
"Cement Bonded Bricks/Stone Wall","31633"
"Mud Bonded Bricks/Stone Wall","2139"
"Not stated","732"
"Others","479"
"Unbaked Bricks","52"
"Wood/Planks","1326"
"Total","47798"
