"Population by Mother tongue","Number"
"Avadhi",""
"Female","10755"
"Male","10928"
"","21683"
"Bhojpuri",""
"Female","16350"
"Male","16453"
"","32803"
"Doteli",""
"Female","58"
"Male","55"
"","113"
"Gurung",""
"Female","10"
"Male","14"
"","24"
"Hindi",""
"Female","15"
"Male","12"
"","27"
"Magar",""
"Female","110"
"Male","105"
"","215"
"Maithili",""
"Female","943"
"Male","966"
"","1909"
"Nepali",""
"Female","693"
"Male","660"
"","1353"
"Newar",""
"Female","16"
"Male","28"
"","44"
"Not Reported",""
"Female","36"
"Male","28"
"","64"
"Others",""
"Female","28"
"Male","16"
"","44"
"Rai",""
"Female","45"
"Male","47"
"","92"
"Sherpa",""
"Female","16"
"Male","8"
"","24"
"Uranw/Urau",""
"Female","36"
"Male","35"
"","71"
"Urdu",""
"Female","7249"
"Male","6782"
"","14031"
