"Number of households by type of outer wall","Number"
"BambooWall","386"
"Cement Bonded Bricks/Stone Wall","4010"
"Mud Bonded Bricks/Stone Wall","4525"
"Not Stated about Wall","162"
"Other Type Wall","599"
"Unbaked Bricks","198"
"Wood/Planks","66"
"Total","9946"
