"Population by Religion","Number"
"Bahai","0"
"Bon","88"
"Buddism","2144"
"Christianity","14"
"Hindu","449"
"Islam","0"
"Jainism","0"
"Kirat","2"
"Prakriti","1"
"Sikhism","0"
"Undefined","6"
"Total","2704"
