"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","0"
"Cow Dung","0"
"Electricity Fuel","4"
"KeroseneFuel","16"
"LP Gas","205"
"Not Sated about Fuel","1"
"OthersFuel","0"
"Wood/FireWood","499"
"Total","725"
