"Gross value added by industry (at current price)","Rs (,000)"
"Agriculture and forestry","130064300"
"Construction","41705800"
"Education","38089100"
"Electricty gas and water","3175861"
"Financial intermediation","19139800"
"Fishing","3229824"
"Health and social work","10491900"
"Hotels and restaurants","7453500"
"Manufacturing","27831000"
"Mining and quarrying","2968438"
"Other community, social and personal service activities","28222900"
"Public administration and defence","13931000"
"Real estate, renting and business activities","29476700"
"Transport, storage and communications","30400700"
"Wholesale and retail trade","44778400"
"Total","430959223"
