"Gross value added by industry (at constant price)","Rs (,000)"
"Agriculture and forestry","42617804"
"Construction","9639752"
"Education","11018419"
"Electricty gas and water","1737442"
"Financial intermediation","3716484"
"Fishing","1280402"
"Health and social work","2882889"
"Hotels and restaurants","1766391"
"Manufacturing","9058662"
"Mining and quarrying","680092"
"Other community, social and personal service activities","7787390"
"Public administration and defence","2820071"
"Real estate, renting and business activities","5522477"
"Transport, storage and communications","12285067"
"Wholesale and retail trade","13373563"
"Total","126186905"
