"Population by Caste Ethinicity","Number"
"Brahman - Hill",""
"Female","239"
"Male","201"
"","440"
"Chhetri",""
"Female","629"
"Male","571"
"","1200"
"Damai/Dholi",""
"Female","239"
"Male","214"
"","453"
"Danuwar",""
"Female","5"
"Male","7"
"","12"
"Dhobi",""
"Female","5"
"Male","6"
"","11"
"Gharti/Bhujel",""
"Female","55"
"Male","47"
"","102"
"Hayu",""
"Female","17"
"Male","18"
"","35"
"Kami",""
"Female","550"
"Male","556"
"","1106"
"Magar",""
"Female","1842"
"Male","1643"
"","3485"
"Majhi",""
"Female","2084"
"Male","1850"
"","3934"
"Newar",""
"Female","424"
"Male","346"
"","770"
"Others",""
"Female","29"
"Male","51"
"","80"
"Sanyasi/Dasnami",""
"Female","91"
"Male","71"
"","162"
"Sarki",""
"Female","61"
"Male","67"
"","128"
"Sonar",""
"Female","7"
"Male","10"
"","17"
"Sunuwar",""
"Female","28"
"Male","17"
"","45"
"Tamang",""
"Female","8124"
"Male","7498"
"","15622"
"Teli",""
"Female","3"
"Male","10"
"","13"
"Thami",""
"Female","108"
"Male","99"
"","207"
