"Population by Caste/Ethinicity","Number"
"Brahman - Hill",""
"Female","1840"
"Male","1754"
"Chhetri",""
"Female","2431"
"Male","2267"
"Dalit Others",""
"Female","192"
"Male","166"
"Damai/Dholi",""
"Female","72"
"Male","74"
"Danuwar",""
"Female","6"
"Male","12"
"Gharti/Bhujel",""
"Female","110"
"Male","87"
"Gurung",""
"Female","91"
"Male","78"
"Kami",""
"Female","105"
"Male","92"
"Lhomi",""
"Female","16"
"Male","20"
"Magar",""
"Female","93"
"Male","98"
"Musalman",""
"Female","3"
"Male","11"
"Newar",""
"Female","3273"
"Male","3080"
"Others",""
"Female","39"
"Male","62"
"Rai",""
"Female","22"
"Male","30"
"Sanyasi/Dasnami",""
"Female","13"
"Male","15"
"Sarki",""
"Female","8"
"Male","9"
"Sherpa",""
"Female","13"
"Male","12"
"Sunuwar",""
"Female","56"
"Male","42"
"Tamang",""
"Female","4538"
"Male","4365"
"Terai Others",""
"Female","10"
"Male","15"
"Thakuri",""
"Female","61"
"Male","57"
