"Number of households by type of outer wall","Number"
"BambooWall","23"
"Cement Bonded Bricks/Stone Wall","858"
"Mud Bonded Bricks/Stone Wall","4298"
"Not stated","43"
"Others","1"
"Unbaked Bricks","161"
"Wood/Planks","22"
"Total","5406"
