"Population by Five Years Age Group","Number"
"0-4",""
"Female","1983"
"Male","1963"
"10-14",""
"Female","2055"
"Male","2177"
"15-19",""
"Female","1482"
"Male","1663"
"20-24",""
"Female","1371"
"Male","1237"
"25-29",""
"Female","1292"
"Male","1222"
"30-34",""
"Female","1169"
"Male","1068"
"35-39",""
"Female","1009"
"Male","1100"
"40-44",""
"Female","863"
"Male","894"
"45-49",""
"Female","682"
"Male","795"
"50-54",""
"Female","512"
"Male","659"
"55-59",""
"Female","437"
"Male","475"
"5-9",""
"Female","2362"
"Male","2522"
"60-64",""
"Female","408"
"Male","421"
"65-69",""
"Female","298"
"Male","307"
"70-74",""
"Female","212"
"Male","215"
"75+",""
"Female","115"
"Male","124"
