"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","115"
"Cow Dung","25"
"Electricity Fuel","9"
"KeroseneFuel","120"
"LP Gas","2003"
"Not Sated about Fuel","34"
"OthersFuel","64"
"Wood/FireWood","8624"
"Total","10994"
