"Population by Mother tongue","Number"
"Bahing",""
"Female","4"
"Male","7"
"","11"
"Bantawa",""
"Female","1210"
"Male","1084"
"","2294"
"Bhojpuri",""
"Female","67"
"Male","85"
"","152"
"Bhujel",""
"Female","42"
"Male","46"
"","88"
"Chamling",""
"Female","258"
"Male","236"
"","494"
"Doteli",""
"Female","7"
"Male","8"
"","15"
"Gurung",""
"Female","698"
"Male","613"
"","1311"
"Hindi",""
"Female","19"
"Male","25"
"","44"
"Khaling",""
"Female","100"
"Male","88"
"","188"
"Koyee",""
"Female","5"
"Male","6"
"","11"
"Kulung",""
"Female","9"
"Male","15"
"","24"
"Limbu",""
"Female","9240"
"Male","8050"
"","17290"
"Magar",""
"Female","805"
"Male","690"
"","1495"
"Maithili",""
"Female","85"
"Male","150"
"","235"
"Majhi",""
"Female","16"
"Male","15"
"","31"
"Nachhiring",""
"Female","86"
"Male","88"
"","174"
"Nepali",""
"Female","9510"
"Male","8499"
"","18009"
"Newar",""
"Female","194"
"Male","177"
"","371"
"Not Reported",""
"Female","44"
"Male","45"
"","89"
"Others",""
"Female","40"
"Male","39"
"","79"
"Rai",""
"Female","1738"
"Male","1565"
"","3303"
"Rajbanshi",""
"Female","17"
"Male","41"
"","58"
"Sampang",""
"Female","15"
"Male","8"
"","23"
"Sherpa",""
"Female","133"
"Male","126"
"","259"
"Sunuwar",""
"Female","451"
"Male","395"
"","846"
"Tamang",""
"Female","1083"
"Male","913"
"","1996"
"Tharu",""
"Female","9"
"Male","22"
"","31"
"Thulung",""
"Female","141"
"Male","118"
"","259"
"Urdu",""
"Female","8"
"Male","13"
"","21"
