"Population by Religion","Number"
"Bahai","5"
"Bon","29"
"Buddism","43078"
"Christianity","5381"
"Hindu","104080"
"Islam","1568"
"Jainism","2"
"Kirat","135"
"Prakriti","177"
"Sikhism","0"
"Undefined","205"
"Total","154660"
