"Number of households by type of outer wall","Number"
"BambooWall","494"
"Cement Bonded Bricks/Stone Wall","21806"
"Mud Bonded Bricks/Stone Wall","5772"
"Not Stated about Wall","237"
"Other Type Wall","862"
"Unbaked Bricks","130"
"Wood/Planks","4969"
"Total","34270"
