"Population by Five Years Age Group","Number"
"0-4",""
"Female","1569"
"Male","1658"
"10-14",""
"Female","1444"
"Male","1452"
"15-19",""
"Female","1009"
"Male","1000"
"20-24",""
"Female","861"
"Male","794"
"25-29",""
"Female","749"
"Male","687"
"30-34",""
"Female","568"
"Male","508"
"35-39",""
"Female","543"
"Male","570"
"40-44",""
"Female","443"
"Male","450"
"45-49",""
"Female","389"
"Male","435"
"50-54",""
"Female","258"
"Male","309"
"55-59",""
"Female","217"
"Male","296"
"5-9",""
"Female","1723"
"Male","1751"
"60-64",""
"Female","214"
"Male","228"
"65-69",""
"Female","142"
"Male","127"
"70-74",""
"Female","54"
"Male","77"
"75+",""
"Female","31"
"Male","65"
