"Agricultural land use area","Hectare"
"Area under arable land","1048.00"
"Area under meadows and pasture","12.00"
"Area under permanent crops","169.00"
"Area under Temporary crops","893.00"
"Area under temporary fallow","145.00"
"Area under temporary meadows","9.00"
"Other land","97.00"
"Ponds","0.00"
"Woodland and forest","49.00"
"Total","2422.00"
