"Population by Five Years Age Group","Number"
"0-4",""
"Female","1797"
"Male","1908"
"10-14",""
"Female","2134"
"Male","2155"
"15-19",""
"Female","1882"
"Male","1635"
"20-24",""
"Female","1561"
"Male","966"
"25-29",""
"Female","1194"
"Male","785"
"30-34",""
"Female","990"
"Male","634"
"35-39",""
"Female","871"
"Male","643"
"40-44",""
"Female","828"
"Male","598"
"45-49",""
"Female","698"
"Male","542"
"50-54",""
"Female","581"
"Male","590"
"55-59",""
"Female","536"
"Male","470"
"5-9",""
"Female","1961"
"Male","1946"
"60-64",""
"Female","493"
"Male","395"
"65-69",""
"Female","404"
"Male","308"
"70-74",""
"Female","246"
"Male","221"
"75+",""
"Female","274"
"Male","210"
