"Population by Mother tongue","Number"
"Bhojpuri",""
"Female","8"
"Male","17"
"","25"
"Ghale",""
"Female","85"
"Male","62"
"","147"
"Gurung",""
"Female","74"
"Male","57"
"","131"
"Hindi",""
"Female","7"
"Male","5"
"","12"
"Kumal",""
"Female","136"
"Male","138"
"","274"
"Magar",""
"Female","11"
"Male","8"
"","19"
"Nepali",""
"Female","12328"
"Male","9528"
"","21856"
"Newar",""
"Female","53"
"Male","60"
"","113"
"Not Reported",""
"Female","15"
"Male","17"
"","32"
"Others",""
"Female","7"
"Male","18"
"","25"
"Tamang",""
"Female","169"
"Male","127"
"","296"
"Urdu",""
"Female","17"
"Male","13"
"","30"
