"Population by Caste Ethinicity","Number"
"Brahman - Hill",""
"Female","1696"
"Male","1330"
"","3026"
"Brahman - Tarai",""
"Female","9"
"Male","10"
"","19"
"Chhetri",""
"Female","3505"
"Male","2574"
"","6079"
"Damai/Dholi",""
"Female","463"
"Male","369"
"","832"
"Darai",""
"Female","439"
"Male","368"
"","807"
"Ghale",""
"Female","103"
"Male","80"
"","183"
"Gurung",""
"Female","255"
"Male","204"
"","459"
"Kami",""
"Female","540"
"Male","429"
"","969"
"Kumal",""
"Female","1237"
"Male","1022"
"","2259"
"Magar",""
"Female","1580"
"Male","1226"
"","2806"
"Majhi",""
"Female","16"
"Male","20"
"","36"
"Musalman",""
"Female","31"
"Male","32"
"","63"
"Newar",""
"Female","1250"
"Male","1028"
"","2278"
"Others",""
"Female","17"
"Male","22"
"","39"
"Rai",""
"Female","8"
"Male","7"
"","15"
"Sanyasi/Dasnami",""
"Female","395"
"Male","316"
"","711"
"Sarki",""
"Female","853"
"Male","585"
"","1438"
"Tamang",""
"Female","192"
"Male","145"
"","337"
"Terai Others",""
"Female","6"
"Male","5"
"","11"
"Thakuri",""
"Female","305"
"Male","265"
"","570"
"Tharu",""
"Female","5"
"Male","6"
"","11"
"Undefined Others",""
"Female","5"
"Male","7"
"","12"
