"Population by Caste/Ethinicity","Number"
"Bantaba",""
"Female","18"
"Male","15"
"Brahman - Hill",""
"Female","24"
"Male","31"
"Chhetri",""
"Female","765"
"Male","694"
"Damai/Dholi",""
"Female","168"
"Male","141"
"Gharti/Bhujel",""
"Female","18"
"Male","15"
"Kami",""
"Female","299"
"Male","292"
"Limbu",""
"Female","26"
"Male","21"
"Magar",""
"Female","193"
"Male","172"
"Majhi",""
"Female","115"
"Male","114"
"Newar",""
"Female","125"
"Male","103"
"Others",""
"Female","26"
"Male","31"
"Pattharkatta/ Kushwadiya",""
"Female","7"
"Male","8"
"Rai",""
"Female","7785"
"Male","6998"
"Sanyasi/Dasnami",""
"Female","25"
"Male","24"
"Sarki",""
"Female","195"
"Male","216"
"Sunuwar",""
"Female","6"
"Male","6"
"Tamang",""
"Female","29"
"Male","40"
"Tharu",""
"Female","5"
"Male","10"
