"Number of households by type of outer wall","Number"
"BambooWall","1034"
"Cement Bonded Bricks/Stone Wall","3271"
"Mud Bonded Bricks/Stone Wall","4339"
"Not stated","89"
"Others","1622"
"Unbaked Bricks","127"
"Wood/Planks","1039"
"Total","11521"
