"Number of households by type of outer wall","Number"
"BambooWall","3291"
"Cement Bonded Bricks/Stone Wall","427"
"Mud Bonded Bricks/Stone Wall","18"
"Not Stated about Wall","30"
"Other Type Wall","156"
"Unbaked Bricks","6"
"Wood/Planks","74"
"Total","4002"
