"Agricultural land use area","Hectare"
"Area under arable land","25043.00"
"Area under meadows and pasture","57.00"
"Area under permanent crops","1426.00"
"Area under Temporary crops","24262.00"
"Area under temporary fallow","645.00"
"Area under temporary meadows","137.00"
"Other land","1909.00"
"Ponds","5.00"
"Woodland and forest","582.00"
"Total","54066.00"
